Postcode,Economy,Premium
SS0 0AA,80,90
SS0 0AB,80,90
SS0 0AD,80,90
SS0 0AE,80,90
SS0 0AF,80,90
SS0 0AG,80,90
SS0 0AH,80,90
SS0 0AJ,80,90
SS0 0AL,80,90
SS0 0AN,80,90
SS0 0AP,80,90
SS0 0AQ,80,90
SS0 0AR,80,90
SS0 0AS,80,90
SS0 0AT,80,90
SS0 0AU,80,90
SS0 0AW,80,90
SS0 0AX,80,90
SS0 0AY,80,90
SS0 0AZ,80,90
SS0 0BA,80,90
SS0 0BB,80,90
SS0 0BD,80,90
SS0 0BE,80,90
SS0 0BF,80,90
SS0 0BG,80,90
SS0 0BH,80,90
SS0 0BJ,80,90
SS0 0BL,80,90
SS0 0BN,80,90
SS0 0BP,80,90
SS0 0BQ,80,90
SS0 0BS,80,90
SS0 0BT,80,90
SS0 0BU,80,90
SS0 0BW,80,90
SS0 0BX,80,90
SS0 0BY,80,90
SS0 0BZ,80,90
SS0 0DA,80,90
SS0 0DD,80,90
SS0 0DE,80,90
SS0 0DF,80,90
SS0 0DG,80,90
SS0 0DH,80,90
SS0 0DJ,80,90
SS0 0DL,80,90
SS0 0DN,80,90
SS0 0DP,80,90
SS0 0DR,80,90
SS0 0DS,80,90
SS0 0DT,80,90
SS0 0DU,80,90
SS0 0DW,80,90
SS0 0DX,80,90
SS0 0DY,80,90
SS0 0DZ,80,90
SS0 0EA,80,90
SS0 0EB,80,90
SS0 0ED,80,90
SS0 0EE,80,90
SS0 0EF,80,90
SS0 0EG,80,90
SS0 0EH,80,90
SS0 0EJ,80,90
SS0 0EL,80,90
SS0 0EN,80,90
SS0 0EP,80,90
SS0 0EQ,80,90
SS0 0ER,80,90
SS0 0ES,80,90
SS0 0ET,80,90
SS0 0EU,80,90
SS0 0EW,80,90
SS0 0EX,80,90
SS0 0EY,80,90
SS0 0EZ,80,90
SS0 0FA,80,90
SS0 0FF,80,90
SS0 0FZ,80,90
SS0 0GG,80,90
SS0 0GS,80,90
SS0 0HA,80,90
SS0 0HB,80,90
SS0 0HD,80,90
SS0 0HE,80,90
SS0 0HF,80,90
SS0 0HG,80,90
SS0 0HH,80,90
SS0 0HJ,80,90
SS0 0HL,80,90
SS0 0HN,80,90
SS0 0HP,80,90
SS0 0HQ,80,90
SS0 0HR,80,90
SS0 0HS,80,90
SS0 0HT,80,90
SS0 0HU,80,90
SS0 0HW,80,90
SS0 0JA,80,90
SS0 0JB,80,90
SS0 0JD,80,90
SS0 0JE,80,90
SS0 0JF,80,90
SS0 0JG,80,90
SS0 0JH,80,90
SS0 0JJ,80,90
SS0 0JL,80,90
SS0 0JN,80,90
SS0 0JP,80,90
SS0 0JQ,80,90
SS0 0JR,80,90
SS0 0JS,80,90
SS0 0JT,80,90
SS0 0JU,80,90
SS0 0JW,80,90
SS0 0JX,80,90
SS0 0JY,80,90
SS0 0JZ,80,90
SS0 0LA,80,90
SS0 0LB,80,90
SS0 0LD,80,90
SS0 0LE,80,90
SS0 0LF,80,90
SS0 0LG,80,90
SS0 0LH,80,90
SS0 0LJ,80,90
SS0 0LL,80,90
SS0 0LQ,80,90
SS0 0NA,80,90
SS0 0NB,80,90
SS0 0ND,80,90
SS0 0NE,80,90
SS0 0NF,80,90
SS0 0NG,80,90
SS0 0NH,80,90
SS0 0NJ,80,90
SS0 0NL,80,90
SS0 0NN,80,90
SS0 0NP,80,90
SS0 0NQ,80,90
SS0 0NR,80,90
SS0 0NS,80,90
SS0 0NT,80,90
SS0 0NU,80,90
SS0 0NW,80,90
SS0 0NX,80,90
SS0 0NY,80,90
SS0 0NZ,80,90
SS0 0PA,80,90
SS0 0PB,80,90
SS0 0PD,80,90
SS0 0PE,80,90
SS0 0PL,80,90
SS0 0PN,80,90
SS0 0PP,80,90
SS0 0PR,80,90
SS0 0PS,80,90
SS0 0PT,80,90
SS0 0PU,80,90
SS0 0PW,80,90
SS0 0PX,80,90
SS0 0PY,80,90
SS0 0PZ,80,90
SS0 0QA,80,90
SS0 0QB,80,90
SS0 0QD,80,90
SS0 0QE,80,90
SS0 0QF,80,90
SS0 0QG,80,90
SS0 0QH,80,90
SS0 0QJ,80,90
SS0 0QL,80,90
SS0 0QN,80,90
SS0 0QP,80,90
SS0 0QQ,80,90
SS0 0QS,80,90
SS0 0QT,80,90
SS0 0QU,80,90
SS0 0QW,80,90
SS0 0QX,80,90
SS0 0QY,80,90
SS0 0RA,80,90
SS0 0RB,80,90
SS0 0RD,80,90
SS0 0RE,80,90
SS0 0RF,80,90
SS0 0RG,80,90
SS0 0RH,80,90
SS0 0RJ,80,90
SS0 0RL,80,90
SS0 0RN,80,90
SS0 0RP,80,90
SS0 0RQ,80,90
SS0 0RR,80,90
SS0 0RS,80,90
