Postcode,Economy,Premium
DH1 1AA,80,90
DH1 1AB,80,90
DH1 1AD,80,90
DH1 1AE,80,90
DH1 1AF,80,90
DH1 1AG,80,90
DH1 1AH,80,90
DH1 1AJ,80,90
DH1 1AL,80,90
DH1 1AN,80,90
DH1 1AP,80,90
DH1 1AQ,80,90
DH1 1AR,80,90
DH1 1AS,80,90
DH1 1AT,80,90
DH1 1AU,80,90
DH1 1AW,80,90
DH1 1AX,80,90
DH1 1AY,80,90
DH1 1AZ,80,90
DH1 1BA,80,90
DH1 1BB,80,90
DH1 1BD,80,90
DH1 1BE,80,90
DH1 1BF,80,90
DH1 1BG,80,90
DH1 1BH,80,90
DH1 1BJ,80,90
DH1 1BL,80,90
DH1 1BP,80,90
DH1 1BQ,80,90
DH1 1BW,80,90
DH1 1DA,80,90
DH1 1DB,80,90
DH1 1DD,80,90
DH1 1DE,80,90
DH1 1DF,80,90
DH1 1DG,80,90
DH1 1DH,80,90
DH1 1DJ,80,90
DH1 1DL,80,90
DH1 1DN,80,90
DH1 1DP,80,90
DH1 1DQ,80,90
DH1 1DR,80,90
DH1 1DS,80,90
DH1 1DT,80,90
DH1 1DU,80,90
DH1 1DW,80,90
DH1 1DX,80,90
DH1 1DY,80,90
DH1 1DZ,80,90
DH1 1EA,80,90
DH1 1EB,80,90
DH1 1ED,80,90
DH1 1EE,80,90
DH1 1EF,80,90
DH1 1EG,80,90
DH1 1EH,80,90
DH1 1EJ,80,90
DH1 1EL,80,90
DH1 1EN,80,90
DH1 1EP,80,90
DH1 1EQ,80,90
DH1 1ER,80,90
DH1 1ES,80,90
DH1 1ET,80,90
DH1 1EU,80,90
DH1 1EW,80,90
DH1 1EX,80,90
DH1 1EY,80,90
DH1 1EZ,80,90
DH1 1FA,80,90
DH1 1FB,80,90
DH1 1FD,80,90
DH1 1FE,80,90
DH1 1FF,80,90
DH1 1FG,80,90
DH1 1FH,80,90
DH1 1FJ,80,90
DH1 1FL,80,90
DH1 1FN,80,90
DH1 1FP,80,90
