Postcode,Economy,Premium
SA1 1AA,80,90
SA1 1AB,80,90
SA1 1AD,80,90
SA1 1AE,80,90
SA1 1AF,80,90
SA1 1AG,80,90
SA1 1AH,80,90
SA1 1AJ,80,90
SA1 1AL,80,90
SA1 1AN,80,90
SA1 1AP,80,90
SA1 1AQ,80,90
SA1 1AR,80,90
SA1 1AS,80,90
SA1 1AT,80,90
SA1 1AU,80,90
SA1 1AW,80,90
SA1 1AX,80,90
SA1 1AY,80,90
SA1 1AZ,80,90
SA1 1BA,80,90
SA1 1BB,80,90
SA1 1BD,80,90
SA1 1BE,80,90
SA1 1BG,80,90
SA1 1BH,80,90
SA1 1BJ,80,90
SA1 1BL,80,90
SA1 1BN,80,90
SA1 1BP,80,90
SA1 1BQ,80,90
SA1 1BR,80,90
SA1 1BS,80,90
SA1 1BT,80,90
SA1 1BU,80,90
SA1 1BW,80,90
SA1 1BX,80,90
SA1 1BY,80,90
SA1 1BZ,80,90
SA1 1DA,80,90
SA1 1DB,80,90
SA1 1DD,80,90
SA1 1DE,80,90
SA1 1DF,80,90
SA1 1DG,80,90
SA1 1DH,80,90
SA1 1DJ,80,90
SA1 1DL,80,90
SA1 1DN,80,90
SA1 1DP,80,90
SA1 1DQ,80,90
SA1 1DR,80,90
SA1 1DS,80,90
SA1 1DT,80,90
SA1 1DU,80,90
SA1 1DW,80,90
SA1 1DX,80,90
SA1 1DY,80,90
SA1 1DZ,80,90
SA1 1EA,80,90
SA1 1EB,80,90
SA1 1ED,80,90
SA1 1EE,80,90
SA1 1EF,80,90
SA1 1EG,80,90
SA1 1EH,80,90
SA1 1EJ,80,90
SA1 1EL,80,90
SA1 1EN,80,90
SA1 1EP,80,90
SA1 1EQ,80,90
SA1 1ER,80,90
SA1 1ES,80,90
SA1 1ET,80,90
SA1 1EU,80,90
SA1 1EW,80,90
SA1 1EX,80,90
SA1 1EY,80,90
SA1 1EZ,80,90
SA1 1FA,80,90
SA1 1FG,80,90
SA1 1FH,80,90
SA1 1FL,80,90
SA1 1FN,80,90
SA1 1FP,80,90
SA1 1FR,80,90
SA1 1FS,80,90
SA1 1FT,80,90
SA1 1FU,80,90
SA1 1FW,80,90
SA1 1FX,80,90
SA1 1FY,80,90
SA1 1FZ,80,90
SA1 1GA,80,90
SA1 1GB,80,90
SA1 1GD,80,90
SA1 1GE,80,90
SA1 1GF,80,90
SA1 1GG,80,90
SA1 1GH,80,90
SA1 1GJ,80,90
SA1 1GL,80,90
SA1 1GN,80,90
SA1 1GP,80,90
SA1 1GQ,80,90
SA1 1GR,80,90
SA1 1GS,80,90
SA1 1GT,80,90
