Postcode,Economy,Premium
LL110AA,80,90
LL110AB,80,90
LL110AD,80,90
LL110AE,80,90
LL110AF,80,90
LL110AG,80,90
LL110AH,80,90
LL110AJ,80,90
LL110AL,80,90
LL110AN,80,90
LL110AP,80,90
LL110AQ,80,90
LL110AR,80,90
LL110AS,80,90
LL110AT,80,90
LL110AU,80,90
LL110AW,80,90
LL110AX,80,90
LL110AY,80,90
LL110AZ,80,90
LL110BA,80,90
LL110BB,80,90
LL110BD,80,90
LL110BE,80,90
LL110BF,80,90
LL110BG,80,90
LL110BH,80,90
LL110BJ,80,90
LL110BL,80,90
LL110BN,80,90
LL110BP,80,90
LL110BQ,80,90
LL110BR,80,90
LL110BS,80,90
LL110BT,80,90
LL110BU,80,90
LL110BW,80,90
LL110BX,80,90
LL110BY,80,90
LL110BZ,80,90
LL110DA,80,90
LL110DB,80,90
LL110DD,80,90
LL110DE,80,90
LL110DF,80,90
LL110DG,80,90
LL110DH,80,90
LL110DJ,80,90
LL110DL,80,90
LL110DN,80,90
LL110DP,80,90
LL110DQ,80,90
LL110DR,80,90
LL110DS,80,90
LL110DT,80,90
LL110DU,80,90
LL110DW,80,90
LL110DX,80,90
LL110DY,80,90
LL110DZ,80,90
LL110EA,80,90
LL110EB,80,90
LL110ED,80,90
LL110EE,80,90
LL110EF,80,90
LL110EG,80,90
LL110EH,80,90
LL110EJ,80,90
LL110EL,80,90
LL110EN,80,90
LL110EP,80,90
LL110EQ,80,90
LL110ER,80,90
LL110ES,80,90
LL110ET,80,90
LL110EU,80,90
LL110EW,80,90
LL110EX,80,90
LL110EY,80,90
LL110EZ,80,90
LL110FA,80,90
LL110FB,80,90
LL110FD,80,90
LL110FE,80,90
LL110FF,80,90
LL110FG,80,90
LL110FH,80,90
LL110FJ,80,90
LL110FL,80,90
LL110FN,80,90
LL110FP,80,90
LL110FQ,80,90
LL110FR,80,90
LL110FS,80,90
LL110FT,80,90
LL110FU,80,90
LL110FW,80,90
LL110FX,80,90
LL110FY,80,90
LL110FZ,80,90
LL110GA,80,90
LL110GB,80,90
LL110GD,80,90
LL110GE,80,90
LL110GF,80,90
LL110GG,80,90
LL110GH,80,90
LL110GL,80,90
LL110GN,80,90
LL110GP,80,90
LL110GQ,80,90
LL110GR,80,90
LL110GS,80,90
LL110GT,80,90
LL110GU,80,90
LL110GW,80,90
LL110GX,80,90
LL110GY,80,90
LL110GZ,80,90
LL110HA,80,90
LL110HB,80,90
LL110HD,80,90
LL110HE,80,90
LL110HF,80,90
LL110HG,80,90
LL110HH,80,90
LL110HJ,80,90
LL110HL,80,90
LL110HN,80,90
LL110HP,80,90
LL110HQ,80,90
LL110HR,80,90
LL110HS,80,90
LL110HT,80,90
LL110HU,80,90
LL110HW,80,90
LL110HX,80,90
LL110HY,80,90
LL110HZ,80,90
LL110JA,80,90
LL110JB,80,90
LL110JD,80,90
LL110JE,80,90
LL110JF,80,90
LL110JG,80,90
LL110JH,80,90
LL110JJ,80,90
LL110JL,80,90
LL110JN,80,90
LL110JP,80,90
LL110JQ,80,90
LL110JR,80,90
LL110JS,80,90
LL110JT,80,90
LL110JU,80,90
LL110JW,80,90
LL110JX,80,90
LL110JZ,80,90
LL110LA,80,90
LL110LB,80,90
LL110LD,80,90
LL110LE,80,90
LL110LF,80,90
LL110LG,80,90
LL110LH,80,90
LL110LJ,80,90
LL110LL,80,90
LL110LN,80,90
LL110LP,80,90
LL110LQ,80,90
LL110LR,80,90
LL110LS,80,90
LL110LT,80,90
LL110LU,80,90
LL110LW,80,90
LL110LX,80,90
LL110LY,80,90
LL110LZ,80,90
LL110NA,80,90
LL110NB,80,90
LL110ND,80,90
LL110NE,80,90
LL110NF,80,90
LL110NG,80,90
LL110NH,80,90
LL110NJ,80,90
LL110NL,80,90
LL110NN,80,90
LL110NP,80,90
LL110NQ,80,90
LL110NR,80,90
LL110NS,80,90
LL110NT,80,90
LL110NU,80,90
LL110NW,80,90
LL110NX,80,90
LL110NY,80,90
LL110NZ,80,90
LL110PA,80,90
LL110PB,80,90
LL110PD,80,90
LL110PE,80,90
LL110PF,80,90
LL110PG,80,90
LL110PH,80,90
LL110PJ,80,90
LL110PL,80,90
LL110PN,80,90
LL110PP,80,90
LL110PQ,80,90
LL110PR,80,90
LL110PS,80,90
LL110PT,80,90
LL110PU,80,90
LL110PW,80,90
LL110PX,80,90
LL110PY,80,90
LL110PZ,80,90
LL110QA,80,90
LL110QB,80,90
LL110QD,80,90
LL110QE,80,90
LL110QF,80,90
LL110QG,80,90
LL110QJ,80,90
LL110QL,80,90
LL110QN,80,90
LL110QP,80,90
LL110QQ,80,90
LL110QR,80,90
LL110QT,80,90
LL110QU,80,90
LL110QW,80,90
LL110QX,80,90
LL110QY,80,90
LL110QZ,80,90
LL110RA,80,90
LL110RB,80,90
LL110RD,80,90
LL110RE,80,90
LL110RF,80,90
LL110RG,80,90
LL110RH,80,90
LL110RJ,80,90
LL110RL,80,90
LL110RN,80,90
LL110RP,80,90
LL110RQ,80,90
LL110RR,80,90
LL110RS,80,90
LL110RT,80,90
LL110RU,80,90
LL110RW,80,90
LL110RX,80,90
LL110RY,80,90
LL110SY,80,90
LL110XP,80,90
LL110XQ,80,90
LL110XR,80,90
LL110XS,80,90
LL110XT,80,90
LL110XU,80,90
LL110XW,80,90
LL110XX,80,90
LL110XY,80,90
LL110XZ,80,90
LL110YA,80,90
LL110YB,80,90
LL110YD,80,90
LL110YE,80,90
LL110YF,80,90
LL110YG,80,90
LL110YH,80,90
LL110YJ,80,90
LL110YL,80,90
LL110YN,80,90
LL110YP,80,90
LL110YQ,80,90
LL110YR,80,90
LL110YS,80,90
LL110YT,80,90
LL110YU,80,90
LL110YW,80,90
LL110YX,80,90
LL110YY,80,90
LL110YZ,80,90
LL110ZA,80,90
LL110ZB,80,90
LL110ZD,80,90
LL110ZE,80,90
LL110ZF,80,90
LL110ZG,80,90
LL110ZH,80,90
LL110ZJ,80,90
LL110ZL,80,90
LL110ZN,80,90
LL110ZP,80,90
LL110ZQ,80,90
LL110ZR,80,90
LL110ZS,80,90
LL110ZT,80,90
LL110ZU,80,90
LL110ZW,80,90
LL110ZX,80,90
LL110ZY,80,90
LL110ZZ,80,90
LL111AA,80,90
LL111AB,80,90
LL111AD,80,90
LL111AE,80,90
LL111AF,80,90
LL111AG,80,90
LL111AH,80,90
LL111AJ,80,90
LL111AL,80,90
LL111AN,80,90
LL111AP,80,90
LL111AR,80,90
LL111AS,80,90
LL111AT,80,90
LL111AU,80,90
LL111AW,80,90
LL111AY,80,90
LL111BA,80,90
LL111BB,80,90
LL111BD,80,90
LL111BE,80,90
LL111BG,80,90
LL111BL,80,90
LL111BN,80,90
LL111BS,80,90
LL111BT,80,90
LL111BU,80,90
LL111BW,80,90
LL111BX,80,90
LL111BY,80,90
LL111DA,80,90
LL111DB,80,90
LL111DD,80,90
LL111DE,80,90
LL111DF,80,90
LL111DG,80,90
LL111DH,80,90
LL111DJ,80,90
LL111DL,80,90
LL111DN,80,90
LL111DP,80,90
LL111DQ,80,90
LL111DR,80,90
LL111DS,80,90
LL111DT,80,90
LL111DU,80,90
LL111DW,80,90
LL111DY,80,90
LL111EA,80,90
LL111EB,80,90
LL111ED,80,90
LL111EE,80,90
LL111EF,80,90
LL111EG,80,90
LL111EH,80,90
LL111EJ,80,90
LL111EL,80,90
LL111EP,80,90
LL111EQ,80,90
LL111ER,80,90
LL111ES,80,90
LL111ET,80,90
LL111EU,80,90
LL111EW,80,90
LL111EY,80,90
LL111HB,80,90
LL111HE,80,90
LL111HF,80,90
LL111HG,80,90
LL111HH,80,90
LL111HN,80,90
LL111HP,80,90
LL111HR,80,90
LL111HT,80,90
LL111HU,80,90
LL111HY,80,90
LL111LA,80,90
LL111LB,80,90
LL111LD,80,90
LL111LE,80,90
LL111LF,80,90
LL111LG,80,90
LL111LH,80,90
LL111LJ,80,90
LL111LL,80,90
LL111LN,80,90
LL111LP,80,90
LL111LR,80,90
LL111LS,80,90
LL111LT,80,90
LL111LU,80,90
LL111LW,80,90
LL111LY,80,90
LL111NA,80,90
LL111NB,80,90
LL111ND,80,90
LL111NE,80,90
LL111NF,80,90
LL111NG,80,90
LL111NH,80,90
LL111NL,80,90
LL111NP,80,90
LL111NR,80,90
LL111NS,80,90
LL111NT,80,90
LL111NU,80,90
LL111NW,80,90
LL111NY,80,90
LL111PA,80,90
LL111PB,80,90
LL111PD,80,90
LL111PF,80,90
LL111PG,80,90
LL111PH,80,90
LL111PJ,80,90
LL111PL,80,90
LL111PN,80,90
LL111PP,80,90
LL111PR,80,90
LL111PS,80,90
LL111PT,80,90
LL111PU,80,90
LL111PX,80,90
LL111PZ,80,90
LL111QA,80,90
LL111QB,80,90
LL111QD,80,90
LL111QE,80,90
LL111QF,80,90
LL111QG,80,90
LL111QH,80,90
LL111QJ,80,90
LL111QN,80,90
LL111QP,80,90
LL111QR,80,90
LL111QS,80,90
LL111QT,80,90
LL111QU,80,90
LL111QW,80,90
LL111QX,80,90
LL111QY,80,90
LL111QZ,80,90
LL111RA,80,90
LL111RB,80,90
LL111RE,80,90
LL111RF,80,90
LL111RH,80,90
LL111RJ,80,90
LL111RL,80,90
LL111RN,80,90
LL111RP,80,90
LL111RQ,80,90
LL111RR,80,90
LL111RS,80,90
LL111RU,80,90
LL111RW,80,90
LL111RX,80,90
LL111RY,80,90
LL111RZ,80,90
LL111SA,80,90
LL111SB,80,90
LL111SD,80,90
LL111SE,80,90
LL111SF,80,90
LL111SG,80,90
LL111SH,80,90
LL111SJ,80,90
LL111SN,80,90
LL111SP,80,90
LL111SQ,80,90
LL111SR,80,90
LL111ST,80,90
LL111SU,80,90
LL111SW,80,90
LL111SX,80,90
LL111SY,80,90
LL111SZ,80,90
LL111TA,80,90
LL111TB,80,90
LL111TD,80,90
LL111TH,80,90
LL111TJ,80,90
LL111TL,80,90
LL111TN,80,90
LL111TP,80,90
LL111TQ,80,90
LL111TR,80,90
LL111TT,80,90
LL111TU,80,90
LL111TW,80,90
LL111UA,80,90
LL111UE,80,90
LL111UF,80,90
LL111UH,80,90
LL111UJ,80,90
LL111UL,80,90
LL111UQ,80,90
LL111UR,80,90
LL111US,80,90
LL111UT,80,90
LL111UU,80,90
LL111UX,80,90
LL111UY,80,90
LL111WA,80,90
LL111WB,80,90
LL111WD,80,90
LL111WE,80,90
LL111WF,80,90
LL111WG,80,90
LL111WH,80,90
LL111WJ,80,90
LL111WL,80,90
LL111WN,80,90
LL111WP,80,90
LL111WQ,80,90
LL111WR,80,90
LL111WS,80,90
LL111WT,80,90
LL111WU,80,90
LL111WW,80,90
LL111WX,80,90
LL111WY,80,90
LL111WZ,80,90
LL111XB,80,90
LL111XD,80,90
LL111XE,80,90
LL111XF,80,90
LL111XG,80,90
LL111XH,80,90
LL111XJ,80,90
LL111XL,80,90
LL111XP,80,90
LL111XQ,80,90
LL111XS,80,90
LL111XU,80,90
LL111XW,80,90
LL111XX,80,90
LL111XY,80,90
