Postcode,Economy,Premium
AB1 0AA,112,127
AB1 0AB,112,127
AB1 0AD,112,127
AB1 0AE,112,127
AB1 0AF,112,127
AB1 0AG,112,127
AB1 0AJ,112,127
AB1 0AL,112,127
AB1 0AN,112,127
AB1 0AP,112,127
AB1 0AQ,112,127
AB1 0AR,112,127
AB1 0AS,112,127
AB1 0AT,112,127
AB1 0AX,112,127
AB1 0BA,112,127
AB1 0BB,112,127
AB1 0BD,112,127
AB1 0BE,112,127
AB1 0BJ,112,127
AB1 0BL,112,127
AB1 0BN,112,127
AB1 0BP,112,127
AB1 0BQ,112,127
AB1 0BR,112,127
AB1 0BS,112,127
AB1 0BT,112,127
AB1 0BX,112,127
AB1 0BY,112,127
AB1 0BZ,112,127
AB1 0DA,112,127
AB1 0DB,112,127
AB1 0DD,112,127
AB1 0DJ,112,127
AB1 0DL,112,127
AB1 0DN,112,127
AB1 0DP,112,127
AB1 0DQ,112,127
AB1 0DR,112,127
AB1 0DS,112,127
AB1 0DT,112,127
AB1 0DU,112,127
AB1 0DX,112,127
AB1 0DY,112,127
AB1 0EA,112,127
AB1 0EB,112,127
AB1 0ED,112,127
AB1 0EE,112,127
AB1 0EF,112,127
AB1 0EH,112,127
AB1 0EJ,112,127
AB1 0EL,112,127
AB1 0EN,112,127
AB1 0EP,112,127
AB1 0EQ,112,127
AB1 0ER,112,127
AB1 0ES,112,127
AB1 0ET,112,127
AB1 0EU,112,127
AB1 0EW,112,127
AB1 0EX,112,127
AB1 0HA,112,127
AB1 0HB,112,127
AB1 0HD,112,127
AB1 0HJ,112,127
AB1 0HL,112,127
AB1 0HN,112,127
AB1 0HP,112,127
AB1 0HQ,112,127
AB1 0HR,112,127
AB1 0HS,112,127
AB1 0HT,112,127
AB1 0HU,112,127
AB1 0HX,112,127
AB1 0JA,112,127
AB1 0JB,112,127
AB1 0JD,112,127
AB1 0JE,112,127
AB1 0JG,112,127
AB1 0JH,112,127
AB1 0JJ,112,127
AB1 0JL,112,127
AB1 0JN,112,127
AB1 0JP,112,127
AB1 0JQ,112,127
AB1 0JR,112,127
AB1 0JS,112,127
AB1 0JT,112,127
AB1 0JU,112,127
AB1 0JW,112,127
AB1 0JX,112,127
AB1 0JY,112,127
AB1 0JZ,112,127
AB1 0LA,112,127
AB1 0LB,112,127
AB1 0LD,112,127
AB1 0LE,112,127
AB1 0LJ,112,127
AB1 0LL,112,127
AB1 0LN,112,127
AB1 0LP,112,127
AB1 0LQ,112,127
AB1 0LR,112,127
AB1 0LS,112,127
AB1 0LT,112,127
AB1 0LX,112,127
AB1 0NA,112,127
AB1 0NB,112,127
AB1 0ND,112,127
AB1 0NE,112,127
AB1 0NJ,112,127
AB1 0NL,112,127
AB1 0NN,112,127
AB1 0NP,112,127
AB1 0NQ,112,127
AB1 0NR,112,127
AB1 0NS,112,127
AB1 0NT,112,127
AB1 0NX,112,127
AB1 0PA,112,127
AB1 0PB,112,127
AB1 0PD,112,127
AB1 0PE,112,127
AB1 0PG,112,127
AB1 0PJ,112,127
AB1 0PL,112,127
AB1 0PN,112,127
AB1 0PP,112,127
AB1 0PQ,112,127
AB1 0PR,112,127
AB1 0PS,112,127
AB1 0PT,112,127
AB1 0PU,112,127
AB1 0PX,112,127
AB1 0QA,112,127
AB1 0QB,112,127
AB1 0QD,112,127
AB1 0QG,112,127
AB1 0QJ,112,127
AB1 0QL,112,127
AB1 0QN,112,127
AB1 0QP,112,127
AB1 0QQ,112,127
AB1 0QR,112,127
AB1 0QS,112,127
AB1 0QT,112,127
AB1 0QX,112,127
AB1 0RA,112,127
AB1 0RB,112,127
AB1 0RD,112,127
AB1 0RE,112,127
AB1 0RF,112,127
AB1 0RH,112,127
AB1 0RJ,112,127
AB1 0RL,112,127
AB1 0RN,112,127
AB1 0RP,112,127
AB1 0RQ,112,127
AB1 0RR,112,127
AB1 0RS,112,127
AB1 0RT,112,127
AB1 0RU,112,127
AB1 0RW,112,127
AB1 0RX,112,127
AB1 0RY,112,127
AB1 0RZ,112,127
AB1 0SA,112,127
AB1 0SB,112,127
AB1 0SD,112,127
AB1 0SE,112,127
AB1 0SF,112,127
AB1 0SG,112,127
AB1 0SH,112,127
AB1 0SJ,112,127
