Postcode,Economy,Premium
TF1 1AA,80,90
TF1 1AB,80,90
TF1 1AD,80,90
TF1 1AE,80,90
TF1 1AF,80,90
TF1 1AG,80,90
TF1 1AH,80,90
TF1 1AJ,80,90
TF1 1AL,80,90
TF1 1AN,80,90
TF1 1AP,80,90
TF1 1AQ,80,90
TF1 1AR,80,90
TF1 1AU,80,90
TF1 1AW,80,90
TF1 1AX,80,90
TF1 1BA,80,90
TF1 1BB,80,90
TF1 1BD,80,90
TF1 1BE,80,90
TF1 1BH,80,90
TF1 1BJ,80,90
TF1 1BN,80,90
TF1 1BP,80,90
TF1 1BS,80,90
TF1 1BT,80,90
TF1 1BU,80,90
TF1 1BW,80,90
TF1 1BX,80,90
TF1 1BY,80,90
TF1 1BZ,80,90
TF1 1DA,80,90
TF1 1DB,80,90
TF1 1DD,80,90
TF1 1DE,80,90
TF1 1DF,80,90
TF1 1DG,80,90
TF1 1DH,80,90
TF1 1DJ,80,90
TF1 1DL,80,90
TF1 1DN,80,90
TF1 1DP,80,90
TF1 1DQ,80,90
TF1 1DR,80,90
TF1 1DS,80,90
TF1 1DT,80,90
TF1 1DU,80,90
TF1 1DX,80,90
TF1 1DY,80,90
TF1 1DZ,80,90
TF1 1EA,80,90
TF1 1EB,80,90
TF1 1ED,80,90
TF1 1EE,80,90
TF1 1EF,80,90
TF1 1EG,80,90
TF1 1EH,80,90
TF1 1EJ,80,90
TF1 1EL,80,90
TF1 1EN,80,90
TF1 1EP,80,90
TF1 1EQ,80,90
TF1 1ER,80,90
TF1 1ES,80,90
TF1 1ET,80,90
TF1 1EU,80,90
TF1 1EW,80,90
TF1 1EX,80,90
TF1 1EY,80,90
TF1 1EZ,80,90
TF1 1HA,80,90
TF1 1HB,80,90
TF1 1HD,80,90
TF1 1HE,80,90
TF1 1HF,80,90
TF1 1HG,80,90
TF1 1HH,80,90
TF1 1HJ,80,90
TF1 1HL,80,90
TF1 1HN,80,90
TF1 1HP,80,90
TF1 1HQ,80,90
TF1 1HR,80,90
TF1 1HS,80,90
TF1 1HT,80,90
TF1 1HU,80,90
TF1 1HW,80,90
TF1 1HX,80,90
TF1 1HY,80,90
TF1 1HZ,80,90
TF1 1JA,80,90
TF1 1JB,80,90
TF1 1JD,80,90
TF1 1JE,80,90
TF1 1JF,80,90
TF1 1JG,80,90
TF1 1JH,80,90
TF1 1JJ,80,90
TF1 1JL,80,90
TF1 1JN,80,90
TF1 1JP,80,90
TF1 1JQ,80,90
TF1 1JR,80,90
TF1 1JS,80,90
TF1 1JT,80,90
TF1 1JU,80,90
TF1 1JW,80,90
TF1 1JX,80,90
TF1 1JY,80,90
TF1 1JZ,80,90
TF1 1LA,80,90
TF1 1LB,80,90
TF1 1LD,80,90
TF1 1LE,80,90
TF1 1LF,80,90
TF1 1LG,80,90
TF1 1LH,80,90
TF1 1LJ,80,90
TF1 1LL,80,90
TF1 1LN,80,90
TF1 1LP,80,90
TF1 1LQ,80,90
TF1 1LR,80,90
TF1 1LS,80,90
TF1 1LT,80,90
TF1 1LU,80,90
TF1 1LW,80,90
TF1 1LX,80,90
TF1 1LY,80,90
TF1 1LZ,80,90
TF1 1NA,80,90
TF1 1NB,80,90
TF1 1ND,80,90
TF1 1NE,80,90
TF1 1NF,80,90
TF1 1NG,80,90
TF1 1NH,80,90
TF1 1NJ,80,90
TF1 1NL,80,90
TF1 1NN,80,90
TF1 1NP,80,90
TF1 1NQ,80,90
TF1 1NR,80,90
TF1 1NS,80,90
TF1 1NT,80,90
TF1 1NU,80,90
TF1 1NW,80,90
TF1 1NX,80,90
TF1 1NY,80,90
TF1 1NZ,80,90
TF1 1PA,80,90
TF1 1PB,80,90
TF1 1PD,80,90
TF1 1PE,80,90
TF1 1PF,80,90
TF1 1PG,80,90
TF1 1PH,80,90
TF1 1PJ,80,90
TF1 1PL,80,90
TF1 1PN,80,90
TF1 1PP,80,90
TF1 1PQ,80,90
TF1 1PR,80,90
TF1 1PS,80,90
TF1 1PT,80,90
TF1 1PU,80,90
TF1 1PW,80,90
TF1 1PX,80,90
TF1 1PY,80,90
TF1 1PZ,80,90
TF1 1QA,80,90
TF1 1QB,80,90
TF1 1QD,80,90
TF1 1QE,80,90
TF1 1QF,80,90
TF1 1QG,80,90
TF1 1QH,80,90
TF1 1QJ,80,90
TF1 1QL,80,90
TF1 1QN,80,90
TF1 1QP,80,90
TF1 1QQ,80,90
TF1 1QR,80,90
TF1 1QS,80,90
TF1 1QT,80,90
TF1 1QU,80,90
TF1 1QW,80,90
TF1 1QX,80,90
TF1 1QY,80,90
TF1 1QZ,80,90
TF1 1RA,80,90
TF1 1RB,80,90
TF1 1RD,80,90
TF1 1RE,80,90
TF1 1RF,80,90
TF1 1RG,80,90
TF1 1RH,80,90
TF1 1RJ,80,90
TF1 1RL,80,90
TF1 1RN,80,90
TF1 1RP,80,90
TF1 1RQ,80,90
TF1 1RR,80,90
TF1 1RS,80,90
TF1 1RT,80,90
TF1 1RU,80,90
TF1 1RW,80,90
TF1 1RX,80,90
TF1 1RY,80,90
TF1 1RZ,80,90
