Postcode,Economy,Premium
SL0 0AA,80,90
SL0 0AB,80,90
SL0 0AD,80,90
SL0 0AE,80,90
SL0 0AF,80,90
SL0 0AG,80,90
SL0 0AH,80,90
SL0 0AJ,80,90
SL0 0AL,80,90
SL0 0AN,80,90
SL0 0AP,80,90
SL0 0AQ,80,90
SL0 0AR,80,90
SL0 0AS,80,90
SL0 0AT,80,90
SL0 0AU,80,90
SL0 0AW,80,90
SL0 0AX,80,90
SL0 0AY,80,90
SL0 0AZ,80,90
SL0 0BA,80,90
SL0 0BB,80,90
SL0 0BD,80,90
SL0 0BE,80,90
SL0 0BF,80,90
SL0 0BG,80,90
SL0 0BH,80,90
SL0 0BJ,80,90
SL0 0BL,80,90
SL0 0BN,80,90
SL0 0BP,80,90
SL0 0BQ,80,90
SL0 0BS,80,90
SL0 0BT,80,90
SL0 0BU,80,90
SL0 0BW,80,90
SL0 0BX,80,90
SL0 0BY,80,90
SL0 0BZ,80,90
SL0 0DA,80,90
SL0 0DB,80,90
SL0 0DD,80,90
SL0 0DE,80,90
SL0 0DF,80,90
SL0 0DG,80,90
SL0 0DH,80,90
SL0 0DJ,80,90
SL0 0DL,80,90
SL0 0DN,80,90
SL0 0DP,80,90
SL0 0DQ,80,90
SL0 0DR,80,90
SL0 0DS,80,90
SL0 0DT,80,90
SL0 0DU,80,90
SL0 0DW,80,90
SL0 0DX,80,90
SL0 0DY,80,90
SL0 0DZ,80,90
SL0 0EA,80,90
SL0 0EB,80,90
SL0 0ED,80,90
SL0 0EE,80,90
SL0 0EF,80,90
SL0 0EG,80,90
SL0 0EH,80,90
SL0 0EJ,80,90
SL0 0EL,80,90
SL0 0EN,80,90
SL0 0EP,80,90
SL0 0EQ,80,90
SL0 0ER,80,90
SL0 0ES,80,90
SL0 0ET,80,90
SL0 0EU,80,90
SL0 0EW,80,90
SL0 0EX,80,90
SL0 0EY,80,90
SL0 0EZ,80,90
SL0 0FA,80,90
SL0 0HA,80,90
SL0 0HB,80,90
SL0 0HD,80,90
SL0 0HE,80,90
SL0 0HF,80,90
SL0 0HG,80,90
SL0 0HH,80,90
SL0 0HJ,80,90
SL0 0HL,80,90
SL0 0HN,80,90
SL0 0HP,80,90
SL0 0HQ,80,90
SL0 0HR,80,90
SL0 0HS,80,90
SL0 0HT,80,90
SL0 0HU,80,90
SL0 0HW,80,90
SL0 0HX,80,90
SL0 0HY,80,90
SL0 0HZ,80,90
SL0 0JA,80,90
SL0 0JB,80,90
SL0 0JF,80,90
SL0 0JG,80,90
SL0 0JH,80,90
SL0 0JJ,80,90
SL0 0JL,80,90
SL0 0JN,80,90
SL0 0JP,80,90
SL0 0JQ,80,90
SL0 0JR,80,90
