Postcode,Economy,Premium
CO1 1AA,80,90
CO1 1AE,80,90
CO1 1AF,80,90
CO1 1AG,80,90
CO1 1AH,80,90
CO1 1AJ,80,90
CO1 1AL,80,90
CO1 1AN,80,90
CO1 1AP,80,90
CO1 1AQ,80,90
CO1 1AR,80,90
CO1 1AS,80,90
CO1 1AT,80,90
CO1 1AU,80,90
CO1 1AW,80,90
CO1 1AX,80,90
CO1 1AY,80,90
CO1 1AZ,80,90
CO1 1BA,80,90
CO1 1BB,80,90
CO1 1BD,80,90
CO1 1BE,80,90
CO1 1BG,80,90
CO1 1BH,80,90
CO1 1BJ,80,90
CO1 1BL,80,90
CO1 1BN,80,90
CO1 1BP,80,90
CO1 1BQ,80,90
CO1 1BS,80,90
CO1 1BT,80,90
CO1 1BU,80,90
CO1 1BW,80,90
CO1 1BX,80,90
CO1 1BY,80,90
CO1 1BZ,80,90
CO1 1DA,80,90
CO1 1DB,80,90
CO1 1DD,80,90
CO1 1DE,80,90
CO1 1DF,80,90
CO1 1DG,80,90
CO1 1DH,80,90
CO1 1DJ,80,90
CO1 1DL,80,90
CO1 1DN,80,90
CO1 1DP,80,90
CO1 1DQ,80,90
CO1 1DR,80,90
CO1 1DS,80,90
CO1 1DU,80,90
CO1 1DW,80,90
CO1 1DX,80,90
CO1 1DY,80,90
CO1 1DZ,80,90
CO1 1EA,80,90
CO1 1EB,80,90
CO1 1ED,80,90
CO1 1EE,80,90
CO1 1EF,80,90
CO1 1EG,80,90
CO1 1EH,80,90
CO1 1EJ,80,90
CO1 1EL,80,90
CO1 1EN,80,90
CO1 1EP,80,90
CO1 1EQ,80,90
CO1 1ER,80,90
CO1 1ES,80,90
CO1 1ET,80,90
CO1 1EU,80,90
CO1 1EW,80,90
CO1 1EX,80,90
CO1 1EY,80,90
CO1 1EZ,80,90
CO1 1FA,80,90
CO1 1FB,80,90
CO1 1FD,80,90
CO1 1FE,80,90
CO1 1FF,80,90
CO1 1FG,80,90
CO1 1FH,80,90
CO1 1FJ,80,90
CO1 1FL,80,90
CO1 1FN,80,90
CO1 1FP,80,90
CO1 1FQ,80,90
CO1 1FR,80,90
CO1 1FS,80,90
CO1 1FT,80,90
CO1 1FU,80,90
CO1 1FW,80,90
CO1 1FX,80,90
CO1 1FY,80,90
CO1 1FZ,80,90
CO1 1GA,80,90
CO1 1GD,80,90
CO1 1GE,80,90
CO1 1GF,80,90
CO1 1GG,80,90
CO1 1GH,80,90
CO1 1GJ,80,90
CO1 1GL,80,90
CO1 1GN,80,90
CO1 1GP,80,90
CO1 1GQ,80,90
CO1 1GR,80,90
CO1 1GS,80,90
CO1 1GT,80,90
CO1 1GU,80,90
CO1 1GW,80,90
CO1 1GX,80,90
CO1 1GY,80,90
CO1 1GZ,80,90
CO1 1HA,80,90
CO1 1HB,80,90
CO1 1HD,80,90
CO1 1HE,80,90
CO1 1HF,80,90
CO1 1HG,80,90
CO1 1HH,80,90
CO1 1HJ,80,90
CO1 1HL,80,90
CO1 1HN,80,90
CO1 1HP,80,90
CO1 1HQ,80,90
CO1 1HR,80,90
CO1 1HS,80,90
CO1 1HT,80,90
CO1 1HU,80,90
CO1 1HW,80,90
CO1 1HX,80,90
CO1 1HY,80,90
CO1 1HZ,80,90
CO1 1JA,80,90
CO1 1JB,80,90
CO1 1JD,80,90
CO1 1JE,80,90
CO1 1JF,80,90
CO1 1JG,80,90
CO1 1JH,80,90
CO1 1JJ,80,90
CO1 1JL,80,90
CO1 1JN,80,90
CO1 1JP,80,90
CO1 1JQ,80,90
CO1 1JR,80,90
CO1 1JS,80,90
CO1 1JT,80,90
CO1 1JU,80,90
CO1 1JW,80,90
CO1 1JX,80,90
CO1 1JY,80,90
CO1 1JZ,80,90
CO1 1LA,80,90
CO1 1LB,80,90
CO1 1LD,80,90
CO1 1LE,80,90
CO1 1LF,80,90
CO1 1LG,80,90
CO1 1LH,80,90
CO1 1LJ,80,90
CO1 1LL,80,90
CO1 1LN,80,90
CO1 1LP,80,90
CO1 1LQ,80,90
CO1 1LR,80,90
CO1 1LS,80,90
CO1 1LT,80,90
CO1 1LU,80,90
CO1 1LW,80,90
CO1 1LX,80,90
CO1 1LY,80,90
CO1 1LZ,80,90
CO1 1NA,80,90
CO1 1NB,80,90
CO1 1ND,80,90
CO1 1NE,80,90
CO1 1NF,80,90
CO1 1NG,80,90
CO1 1NH,80,90
CO1 1NJ,80,90
CO1 1NL,80,90
CO1 1NN,80,90
CO1 1NP,80,90
CO1 1NQ,80,90
CO1 1NR,80,90
CO1 1NS,80,90
CO1 1NT,80,90
CO1 1NU,80,90
CO1 1NW,80,90
CO1 1NX,80,90
CO1 1NY,80,90
CO1 1NZ,80,90
CO1 1PA,80,90
CO1 1PB,80,90
CO1 1PD,80,90
CO1 1PE,80,90
CO1 1PG,80,90
CO1 1PH,80,90
CO1 1PJ,80,90
CO1 1PL,80,90
CO1 1PN,80,90
CO1 1PP,80,90
CO1 1PQ,80,90
CO1 1PR,80,90
CO1 1PS,80,90
CO1 1PT,80,90
CO1 1PU,80,90
CO1 1PW,80,90
CO1 1PX,80,90
CO1 1PY,80,90
CO1 1PZ,80,90
CO1 1QA,80,90
CO1 1QB,80,90
CO1 1QD,80,90
CO1 1QE,80,90
CO1 1QF,80,90
CO1 1QG,80,90
CO1 1QH,80,90
CO1 1QJ,80,90
CO1 1QL,80,90
CO1 1QN,80,90
CO1 1QP,80,90
CO1 1QQ,80,90
CO1 1QR,80,90
CO1 1QS,80,90
CO1 1QT,80,90
CO1 1QU,80,90
CO1 1QW,80,90
CO1 1QX,80,90
CO1 1QY,80,90
CO1 1QZ,80,90
CO1 1RA,80,90
CO1 1RB,80,90
CO1 1RD,80,90
CO1 1RE,80,90
CO1 1RF,80,90
CO1 1RG,80,90
CO1 1RH,80,90
CO1 1RJ,80,90
CO1 1RL,80,90
CO1 1RN,80,90
CO1 1RP,80,90
CO1 1RQ,80,90
CO1 1RR,80,90
CO1 1RS,80,90
CO1 1RT,80,90
CO1 1RU,80,90
CO1 1RW,80,90
CO1 1RX,80,90
CO1 1RY,80,90
CO1 1RZ,80,90
CO1 1SA,80,90
CO1 1SB,80,90
CO1 1SD,80,90
CO1 1SE,80,90
CO1 1SF,80,90
CO1 1SG,80,90
CO1 1SH,80,90
CO1 1SJ,80,90
CO1 1SL,80,90
CO1 1SN,80,90
CO1 1SP,80,90
CO1 1SQ,80,90
CO1 1SR,80,90
CO1 1SS,80,90
CO1 1ST,80,90
CO1 1SU,80,90
CO1 1SW,80,90
CO1 1SX,80,90
CO1 1SY,80,90
CO1 1SZ,80,90
CO1 1TA,80,90
CO1 1TB,80,90
CO1 1TD,80,90
CO1 1TE,80,90
CO1 1TF,80,90
CO1 1TG,80,90
CO1 1TH,80,90
CO1 1TJ,80,90
CO1 1TL,80,90
CO1 1TN,80,90
CO1 1TP,80,90
CO1 1TQ,80,90
CO1 1TR,80,90
CO1 1TS,80,90
CO1 1TT,80,90
CO1 1TW,80,90
