Postcode,Economy,Premium
PR0 2AA,80,90
PR0 2AD,80,90
PR0 2AE,80,90
PR0 2AF,80,90
PR0 2AG,80,90
PR0 2AH,80,90
PR0 2AJ,80,90
PR0 2AL,80,90
PR0 2AN,80,90
PR0 2AP,80,90
PR0 2AQ,80,90
PR0 2BP,80,90
PR0 2EG,80,90
PR0 2EJ,80,90
PR0 2GP,80,90
PR0 2LP,80,90
PR0 2NP,80,90
PR0 2PP,80,90
PR0 2QP,80,90
PR0 2RD,80,90
PR0 2RP,80,90
PR0 2SP,80,90
PR0 2TP,80,90
PR0 2TU,80,90
PR0 2ZP,80,90
PR1 0AA,80,90
PR1 0AD,80,90
PR1 0AE,80,90
PR1 0AG,80,90
PR1 0AH,80,90
PR1 0AJ,80,90
PR1 0AL,80,90
PR1 0AN,80,90
PR1 0AP,80,90
PR1 0AQ,80,90
PR1 0AR,80,90
PR1 0AS,80,90
PR1 0AT,80,90
PR1 0AU,80,90
PR1 0AW,80,90
PR1 0AX,80,90
PR1 0AY,80,90
PR1 0AZ,80,90
PR1 0BA,80,90
PR1 0BB,80,90
PR1 0BD,80,90
PR1 0BE,80,90
PR1 0BH,80,90
PR1 0BJ,80,90
PR1 0BL,80,90
PR1 0BN,80,90
PR1 0BP,80,90
PR1 0BQ,80,90
PR1 0BS,80,90
PR1 0DA,80,90
PR1 0DL,80,90
PR1 0DN,80,90
PR1 0DP,80,90
PR1 0DQ,80,90
PR1 0DR,80,90
PR1 0DS,80,90
PR1 0DT,80,90
PR1 0DU,80,90
PR1 0DX,80,90
PR1 0DY,80,90
PR1 0DZ,80,90
PR1 0EA,80,90
PR1 0EB,80,90
PR1 0ED,80,90
PR1 0EE,80,90
PR1 0EH,80,90
PR1 0EJ,80,90
PR1 0EL,80,90
PR1 0EN,80,90
PR1 0EP,80,90
PR1 0EQ,80,90
PR1 0ER,80,90
PR1 0FA,80,90
PR1 0FB,80,90
PR1 0FE,80,90
PR1 0GA,80,90
PR1 0GB,80,90
PR1 0GD,80,90
PR1 0GE,80,90
PR1 0GF,80,90
PR1 0GG,80,90
PR1 0GH,80,90
PR1 0GJ,80,90
PR1 0GL,80,90
PR1 0GN,80,90
PR1 0GP,80,90
PR1 0GQ,80,90
PR1 0GR,80,90
PR1 0GS,80,90
PR1 0GT,80,90
PR1 0GU,80,90
PR1 0GW,80,90
PR1 0HS,80,90
PR1 0HT,80,90
PR1 0HU,80,90
PR1 0HX,80,90
PR1 0HY,80,90
PR1 0JA,80,90
PR1 0JB,80,90
PR1 0JD,80,90
PR1 0JE,80,90
PR1 0JH,80,90
PR1 0JJ,80,90
PR1 0JL,80,90
PR1 0JN,80,90
PR1 0JR,80,90
PR1 0JS,80,90
PR1 0JT,80,90
PR1 0JU,80,90
PR1 0JX,80,90
PR1 0LD,80,90
PR1 0LH,80,90
PR1 0LJ,80,90
PR1 0LL,80,90
PR1 0LN,80,90
PR1 0LP,80,90
